FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
2607167|Mobile Ranch Park|Populated Place|WA|53|Stevens|065|483204N|1175425W|48.5344385|-117.9069305|||||481|1578|Colville|06/07/2010|10/24/2018
1514793|Maple Cove|Bay|WA|53|Island|029|480154N|1222233W|48.0317695|-122.3758643|||||1|3|Langley|03/01/1993|05/17/2019
2462595|Ballard Post Office|Post Office|WA|53|King|033|474013N|1222242W|47.6703797|-122.3783732|||||31|102|Shilshole Bay|07/15/2008|09/16/2016
2605640|Prairie Pit|Mine|WA|53|Island|029|481157N|1223838W|48.1992607|-122.643898|||||60|197|Coupeville|06/07/2010|10/23/2018
1516094|Baldy Creek|Stream|WA|53|Snohomish|061|480820N|1214238W|48.1389945|-121.7106813|480938N|1214100W|48.1605556|-121.6833333|551|1808|Whitehorse Mountain|09/10/1979|
2607651|Providence Mill Creek Clinic|Hospital|WA|53|Snohomish|061|475253N|1221228W|47.8813856|-122.2078618|||||140|459|Everett|06/07/2010|09/16/2016
1520891|Hood Point|Cape|WA|53|Kitsap|035|473719N|1225500W|47.622037|-122.916545|||||1|3|Holly|09/10/1979|07/15/2015
1528570|Bee Creek|Stream|WA|53|Whatcom|073|485723N|1215230W|48.9565144|-121.8748653|485719N|1215125W|48.9552778|-121.8569444|902|2959|Bearpaw Mountain|07/01/1989|
1508718|Steilacoom|Populated Place|WA|53|Pierce|053|471011N|1223609W|47.1698197|-122.6026274|||||23|75|Steilacoom|09/10/1979|03/21/2008
1503812|Carp Lake|Lake|WA|53|Klickitat|039|455506N|1205256W|45.9184595|-120.8823298|||||755|2477|White Pine Buttes|09/10/1979|03/14/2019
1510839|Brookfield (historical)|Populated Place|WA|53|Wahkiakum|069|461553N|1233338W|46.2648312|-123.5606915|||||6|20|Grays River|09/10/1979|03/22/2017
1518446|Dabob Bay|Bay|WA|53|Jefferson|031|474401N|1225034W|47.7337166|-122.8426865|||||0|0|Seabeck|09/10/1979|05/17/2019
1523139|Milk Lake Glacier|Glacier|WA|53|Snohomish|061|480905N|1210918W|48.1512529|-121.1550914|||||1836|6024|Lime Mountain|09/10/1979|05/14/2019
1527829|Washington Park|Park|WA|53|Chelan|007|472518N|1201935W|47.421793|-120.326461|||||239|784|Wenatchee|09/10/1979|
1525538|Seabrock Spring|Spring|WA|53|Kittitas|037|470300N|1201343W|47.0501284|-120.228672|||||1057|3468|Whiskey Dick Mountain|09/10/1979|03/27/2017
1529118|Fourth of July Mine|Mine|WA|53|Okanogan|047|482835N|1194339W|48.4762604|-119.7275633|||||1378|4521|Ruby Hill|10/01/1990|
1504852|Fern Hill Cemetery|Cemetery|WA|53|Pacific|049|463802N|1233939W|46.6338959|-123.6608714|||||53|174|Raymond|09/10/1979|09/29/2018
1532898|Owens Ponds Dam|Dam|WA|53|Pacific|049|463941N|1233747W|46.6614898|-123.6296027|||||21|69|Raymond|11/01/1991|
1519861|Gabriel Creek|Stream|WA|53|Skagit|057|483751N|1205840W|48.6309634|-120.9778927|483733N|1205500W|48.6258333|-120.9166667|962|3156|Crater Mountain|09/10/1979|
1528243|Winegar Canyon|Valley|WA|53|Kittitas|037|470348N|1204324W|47.0634569|-120.7234085|470326N|1204448W|47.0572222|-120.7466667|609|1998|Thorp|09/10/1979|
1513175|Nisqually|Populated Place|WA|53|Thurston|067|470323N|1224204W|47.0564855|-122.7012417|||||8|26|Nisqually|09/10/1979|09/02/2012
1504344|Davis Peak|Summit|WA|53|Cowlitz|015|455935N|1223546W|45.9931675|-122.5962132|||||888|2913|Ariel|09/10/1979|
1519582|Fish Creek|Stream|WA|53|Chelan|007|481410N|1203700W|48.236248|-120.6167638|481516N|1203246W|48.2543057|-120.5462071|336|1102|Lucerne|09/10/1979|
1507396|Petty Spring|Spring|WA|53|Asotin|003|460901N|1171944W|46.1501403|-117.328928|||||1377|4518|Harlow Ridge|09/10/1979|04/18/2017
1523269|Mission Creek|Stream|WA|53|Lewis|041|463009N|1213515W|46.5026146|-121.5875849|462824N|1213703W|46.473448|-121.6175851|756|2480|Packwood Lake|09/10/1979|
1524426|Pillar Point|Cape|WA|53|Clallam|009|481259N|1240601W|48.2164708|-124.1002106|||||0|0|Pysht|09/10/1979|
1513957|West Unit One Highline Canal|Canal|WA|53|Yakima|077|462713N|1204111W|46.4537368|-120.6864574|||||301|988|White Swan|12/31/1992|
1527907|Wenatchee Reclamation Ditch|Canal|WA|53|Douglas|017|472412N|1201638W|47.4034604|-120.2772921|||||260|853|Wenatchee|09/10/1979|
1512480|Morrow Hill|Summit|WA|53|Pierce|053|470024N|1223031W|47.0067645|-122.5087336|||||125|410|Fort Lewis|09/10/1979|
1508715|Steep Point|Cape|WA|53|San Juan|055|483634N|1230124W|48.6095456|-123.0232386|||||16|52|Friday Harbor|09/10/1979|
1510309|Warmhouse Beach|Beach|WA|53|Clallam|009|482319N|1243950W|48.3886761|-124.6638519|||||3|10|Cape Flattery|10/01/1990|
1510667|Willapa Valley|Valley|WA|53|Pacific|049|464019N|1234102W|46.6720447|-123.6837706|463231N|1232752W|46.5420478|-123.4643181|11|36|Raymond|05/01/1991|
1523312|Money Creek|Stream|WA|53|King|033|474343N|1212529W|47.7287181|-121.4248245|474201N|1213107W|47.7003844|-121.5187136|257|843|Grotto|09/10/1979|
1523529|Muscott Creek|Stream|WA|53|Jefferson|031|474415N|1231014W|47.7375907|-123.1704466|474238N|1231121W|47.7105556|-123.1891667|482|1581|The Brothers|09/10/1979|
1528867|Shelton Memorial Park|Cemetery|WA|53|Mason|045|471305N|1230729W|47.2179595|-123.1247085|||||64|210|Shelton|08/01/1990|02/13/2020
1509571|Wilson Creek|Stream|WA|53|Lewis|041|462731N|1230545W|46.4587166|-123.0959612|462721N|1230653W|46.4558333|-123.1147222|105|344|Wildwood|09/10/1979|
